n_categories,session,trial_id,x1_true,x2_true,x1_response,x2_response,x1_start,x2_start,rt,Sex,participant_id,stim_id
4,2,12,73,55,71,70,93,97,3941,Male,ef1f80fc1e2fff621a6df71da886514a,76
4,2,13,46,10,25,15,84,59,10336,Male,ef1f80fc1e2fff621a6df71da886514a,41
4,2,14,19,37,55,29,82,54,6566,Male,ef1f80fc1e2fff621a6df71da886514a,14
4,2,15,37,19,49,28,45,9,8308,Male,ef1f80fc1e2fff621a6df71da886514a,32
4,2,16,82,10,83,15,79,41,5846,Male,ef1f80fc1e2fff621a6df71da886514a,81
4,2,17,64,91,83,87,84,86,6014,Male,ef1f80fc1e2fff621a6df71da886514a,70
4,2,18,28,10,51,18,85,90,3887,Male,ef1f80fc1e2fff621a6df71da886514a,21
4,2,19,82,73,77,78,36,48,3556,Male,ef1f80fc1e2fff621a6df71da886514a,88
4,2,20,55,91,49,81,49,80,2758,Male,ef1f80fc1e2fff621a6df71da886514a,60
4,2,21,19,82,18,75,18,29,2794,Male,ef1f80fc1e2fff621a6df71da886514a,19
4,2,22,10,10,20,22,84,73,4679,Male,ef1f80fc1e2fff621a6df71da886514a,1
4,2,23,10,91,44,44,84,8,3590,Male,ef1f80fc1e2fff621a6df71da886514a,10
4,2,24,73,37,75,31,59,31,2599,Male,ef1f80fc1e2fff621a6df71da886514a,74
4,2,25,82,91,79,83,50,45,4004,Male,ef1f80fc1e2fff621a6df71da886514a,90
4,2,26,46,46,29,39,54,56,4515,Male,ef1f80fc1e2fff621a6df71da886514a,45
4,2,27,19,46,17,22,97,7,5486,Male,ef1f80fc1e2fff621a6df71da886514a,15
4,2,28,55,73,40,71,42,39,4919,Male,ef1f80fc1e2fff621a6df71da886514a,58
4,2,29,46,55,38,36,76,1,6329,Male,ef1f80fc1e2fff621a6df71da886514a,46
4,2,30,28,64,34,54,42,55,5161,Male,ef1f80fc1e2fff621a6df71da886514a,27
4,2,31,55,10,43,22,82,18,4834,Male,ef1f80fc1e2fff621a6df71da886514a,51
4,2,32,91,28,79,25,29,89,4917,Male,ef1f80fc1e2fff621a6df71da886514a,93
4,2,33,91,91,78,80,78,45,2631,Male,ef1f80fc1e2fff621a6df71da886514a,100
4,2,34,82,28,80,30,41,66,3586,Male,ef1f80fc1e2fff621a6df71da886514a,83
4,2,35,10,28,10,12,10,28,2840,Male,ef1f80fc1e2fff621a6df71da886514a,3
4,2,36,10,46,22,30,70,58,9062,Male,ef1f80fc1e2fff621a6df71da886514a,5
4,2,37,28,46,26,63,72,29,3166,Male,ef1f80fc1e2fff621a6df71da886514a,25
4,2,38,19,55,26,45,32,18,3263,Male,ef1f80fc1e2fff621a6df71da886514a,16
4,2,39,46,64,31,55,22,84,6056,Male,ef1f80fc1e2fff621a6df71da886514a,47
4,2,40,64,82,69,69,35,69,2312,Male,ef1f80fc1e2fff621a6df71da886514a,69
4,2,41,37,64,35,47,4,10,4004,Male,ef1f80fc1e2fff621a6df71da886514a,37
4,2,42,28,55,23,54,81,19,3834,Male,ef1f80fc1e2fff621a6df71da886514a,26
4,2,43,73,28,75,31,57,51,3608,Male,ef1f80fc1e2fff621a6df71da886514a,73
4,2,44,37,55,29,56,29,70,2223,Male,ef1f80fc1e2fff621a6df71da886514a,36
4,2,45,10,37,18,36,73,8,4787,Male,ef1f80fc1e2fff621a6df71da886514a,4
4,2,46,82,19,71,22,10,95,4748,Male,ef1f80fc1e2fff621a6df71da886514a,82
4,2,47,73,46,79,58,90,56,4025,Male,ef1f80fc1e2fff621a6df71da886514a,75
4,2,48,73,64,81,77,48,92,3546,Male,ef1f80fc1e2fff621a6df71da886514a,77
4,2,49,82,55,79,66,82,40,3730,Male,ef1f80fc1e2fff621a6df71da886514a,86
4,2,50,46,91,47,84,73,94,5944,Male,ef1f80fc1e2fff621a6df71da886514a,50
4,2,51,28,37,36,19,71,4,6079,Male,ef1f80fc1e2fff621a6df71da886514a,24
4,2,52,37,37,29,35,40,50,3242,Male,ef1f80fc1e2fff621a6df71da886514a,34
4,2,53,73,91,69,87,69,22,4030,Male,ef1f80fc1e2fff621a6df71da886514a,80
4,2,54,73,73,81,79,17,6,6696,Male,ef1f80fc1e2fff621a6df71da886514a,78
4,2,55,10,73,20,83,96,19,4173,Male,ef1f80fc1e2fff621a6df71da886514a,8
4,2,56,55,37,54,25,10,60,6166,Male,ef1f80fc1e2fff621a6df71da886514a,54
4,2,57,73,19,71,22,97,5,5103,Male,ef1f80fc1e2fff621a6df71da886514a,72
4,2,58,91,10,76,17,51,34,4125,Male,ef1f80fc1e2fff621a6df71da886514a,91
4,2,59,19,91,26,74,77,91,4531,Male,ef1f80fc1e2fff621a6df71da886514a,20
4,2,60,64,28,70,38,91,76,4533,Male,ef1f80fc1e2fff621a6df71da886514a,63
4,2,61,28,28,21,35,16,78,4098,Male,ef1f80fc1e2fff621a6df71da886514a,23
4,2,62,37,73,37,39,23,55,3894,Male,ef1f80fc1e2fff621a6df71da886514a,38
4,2,63,28,19,26,27,54,58,3863,Male,ef1f80fc1e2fff621a6df71da886514a,22
4,2,64,73,10,72,24,14,34,3773,Male,ef1f80fc1e2fff621a6df71da886514a,71
4,2,65,64,19,91,26,91,95,2970,Male,ef1f80fc1e2fff621a6df71da886514a,62
4,2,66,91,37,80,27,80,45,3417,Male,ef1f80fc1e2fff621a6df71da886514a,94
4,2,67,37,46,51,42,66,91,6327,Male,ef1f80fc1e2fff621a6df71da886514a,35
4,2,68,91,55,72,55,31,38,10126,Male,ef1f80fc1e2fff621a6df71da886514a,96
4,2,69,19,64,31,69,51,86,4573,Male,ef1f80fc1e2fff621a6df71da886514a,17
4,2,70,64,73,42,67,4,68,5365,Male,ef1f80fc1e2fff621a6df71da886514a,68
4,2,71,28,82,26,79,49,70,4083,Male,ef1f80fc1e2fff621a6df71da886514a,29
4,2,72,55,82,38,74,27,84,3864,Male,ef1f80fc1e2fff621a6df71da886514a,59
4,2,73,82,46,83,39,40,6,4661,Male,ef1f80fc1e2fff621a6df71da886514a,85
4,2,74,55,64,47,40,33,53,5551,Male,ef1f80fc1e2fff621a6df71da886514a,57
4,2,75,46,19,35,30,18,86,4123,Male,ef1f80fc1e2fff621a6df71da886514a,42
4,2,76,19,10,24,23,47,43,4159,Male,ef1f80fc1e2fff621a6df71da886514a,11
4,2,77,64,46,91,28,91,3,3361,Male,ef1f80fc1e2fff621a6df71da886514a,65
4,2,78,19,28,39,32,46,55,3556,Male,ef1f80fc1e2fff621a6df71da886514a,13
4,2,79,37,10,30,30,77,81,4489,Male,ef1f80fc1e2fff621a6df71da886514a,31
4,2,80,46,73,35,87,90,87,2764,Male,ef1f80fc1e2fff621a6df71da886514a,48
4,2,81,64,37,54,47,95,90,5253,Male,ef1f80fc1e2fff621a6df71da886514a,64
4,2,82,19,19,16,15,16,42,2216,Male,ef1f80fc1e2fff621a6df71da886514a,12
4,2,83,55,28,40,31,56,88,4162,Male,ef1f80fc1e2fff621a6df71da886514a,53
4,2,84,10,82,13,91,28,44,4313,Male,ef1f80fc1e2fff621a6df71da886514a,9
4,2,85,10,64,17,78,91,54,3470,Male,ef1f80fc1e2fff621a6df71da886514a,7
4,2,86,37,91,17,90,4,71,4084,Male,ef1f80fc1e2fff621a6df71da886514a,40
4,2,87,64,64,75,79,75,14,3897,Male,ef1f80fc1e2fff621a6df71da886514a,67
4,2,88,91,46,77,49,57,8,4240,Male,ef1f80fc1e2fff621a6df71da886514a,95
4,2,89,46,82,34,72,94,98,6215,Male,ef1f80fc1e2fff621a6df71da886514a,49
4,2,90,55,55,38,46,59,4,3512,Male,ef1f80fc1e2fff621a6df71da886514a,56
4,2,91,19,73,43,78,78,48,3829,Male,ef1f80fc1e2fff621a6df71da886514a,18
4,2,92,28,91,20,76,39,37,3645,Male,ef1f80fc1e2fff621a6df71da886514a,30
4,2,93,73,82,83,80,22,93,3811,Male,ef1f80fc1e2fff621a6df71da886514a,79
4,2,94,37,28,20,21,91,84,5376,Male,ef1f80fc1e2fff621a6df71da886514a,33
4,2,95,46,28,35,37,90,81,4779,Male,ef1f80fc1e2fff621a6df71da886514a,43
4,2,96,28,73,28,69,41,55,3356,Male,ef1f80fc1e2fff621a6df71da886514a,28
4,2,97,10,19,13,15,13,67,2637,Male,ef1f80fc1e2fff621a6df71da886514a,2
4,2,98,91,64,72,58,100,85,9549,Male,ef1f80fc1e2fff621a6df71da886514a,97
4,2,99,91,73,81,82,63,39,3615,Male,ef1f80fc1e2fff621a6df71da886514a,98
1,1,0,19,82,32,81,45,91,6616,Male,2f49261da241afa0d9c848b46d3f4d22,19
1,1,1,91,28,82,23,85,12,7699,Male,2f49261da241afa0d9c848b46d3f4d22,93
1,1,2,10,19,32,16,53,55,7840,Male,2f49261da241afa0d9c848b46d3f4d22,2
1,1,3,10,82,12,80,7,80,9540,Male,2f49261da241afa0d9c848b46d3f4d22,9
1,1,4,73,91,63,80,21,48,9265,Male,2f49261da241afa0d9c848b46d3f4d22,80
1,1,5,64,28,68,34,24,36,8284,Male,2f49261da241afa0d9c848b46d3f4d22,63
1,1,6,82,46,72,52,98,50,8984,Male,2f49261da241afa0d9c848b46d3f4d22,85
1,1,7,28,10,42,15,79,90,6205,Male,2f49261da241afa0d9c848b46d3f4d22,21
1,1,8,37,46,30,48,44,23,8595,Male,2f49261da241afa0d9c848b46d3f4d22,35
1,1,9,82,55,74,45,65,35,5031,Male,2f49261da241afa0d9c848b46d3f4d22,86
1,1,10,19,28,22,44,94,63,8743,Male,2f49261da241afa0d9c848b46d3f4d22,13
1,1,11,19,73,21,85,18,63,9792,Male,2f49261da241afa0d9c848b46d3f4d22,18
1,1,12,10,55,9,75,53,9,8211,Male,2f49261da241afa0d9c848b46d3f4d22,6
1,1,13,64,55,60,54,11,28,5479,Male,2f49261da241afa0d9c848b46d3f4d22,66
1,1,14,91,55,83,63,63,50,9079,Male,2f49261da241afa0d9c848b46d3f4d22,96
1,1,15,91,73,83,78,83,30,3982,Male,2f49261da241afa0d9c848b46d3f4d22,98
1,1,16,91,10,84,7,89,3,6332,Male,2f49261da241afa0d9c848b46d3f4d22,91
1,1,17,73,10,79,10,13,99,5903,Male,2f49261da241afa0d9c848b46d3f4d22,71
1,1,18,19,19,30,12,100,93,6403,Male,2f49261da241afa0d9c848b46d3f4d22,12
1,1,19,19,37,36,23,65,75,8704,Male,2f49261da241afa0d9c848b46d3f4d22,14
1,1,20,28,64,24,63,74,42,5495,Male,2f49261da241afa0d9c848b46d3f4d22,27
1,1,21,10,73,18,74,66,17,4955,Male,2f49261da241afa0d9c848b46d3f4d22,8
1,1,22,46,55,33,60,100,49,5828,Male,2f49261da241afa0d9c848b46d3f4d22,46
1,1,23,55,91,46,95,36,73,6945,Male,2f49261da241afa0d9c848b46d3f4d22,60
1,1,24,19,10,20,9,53,79,5165,Male,2f49261da241afa0d9c848b46d3f4d22,11
1,1,25,37,10,33,7,29,7,3511,Male,2f49261da241afa0d9c848b46d3f4d22,31
1,1,26,73,82,55,87,72,64,10462,Male,2f49261da241afa0d9c848b46d3f4d22,79
1,1,27,82,91,81,84,44,63,4211,Male,2f49261da241afa0d9c848b46d3f4d22,90
1,1,28,55,10,82,13,63,39,5790,Male,2f49261da241afa0d9c848b46d3f4d22,51
1,1,29,28,91,27,83,35,76,7651,Male,2f49261da241afa0d9c848b46d3f4d22,30
1,1,30,91,46,80,52,94,75,7610,Male,2f49261da241afa0d9c848b46d3f4d22,95
1,1,31,73,28,79,28,56,96,11286,Male,2f49261da241afa0d9c848b46d3f4d22,73
1,1,32,64,91,78,89,86,82,6238,Male,2f49261da241afa0d9c848b46d3f4d22,70
1,1,33,46,46,58,73,51,48,6471,Male,2f49261da241afa0d9c848b46d3f4d22,45
1,1,34,46,37,55,43,100,23,7240,Male,2f49261da241afa0d9c848b46d3f4d22,44
1,1,35,28,73,26,70,6,4,7641,Male,2f49261da241afa0d9c848b46d3f4d22,28
