participant_id,n_categories,session,category,mean_distance,mean_accuracy,mean_delta_accuracy,mean_distance_before,movement
221f58cd7ac3cdce4762554d8d9e2d68,Category Learning,2,Bukil,34.54945562921087,0.8,0.20000000000000007,34.97277287455079,0.42331724533992343
221f58cd7ac3cdce4762554d8d9e2d68,Category Learning,2,Venak,15.819731806934408,0.8,0.20000000000000007,14.017190248111204,-1.8025415588232043
2c6f3129ba7832d1d8dd048f45207db5,Category Learning,2,Bukil,34.781173061945154,0.675,-0.07499999999999996,31.769172931292303,-3.0120001306528508
2c6f3129ba7832d1d8dd048f45207db5,Category Learning,2,Venak,26.548798898891818,0.675,-0.07499999999999996,21.587834902878768,-4.960963996013049
2d052877055d1585ae9abf01832202d5,Sequential Comparison,2,Bukil,44.40081038589148,0.5,0,37.41861944807441,-6.982190937817073
2d052877055d1585ae9abf01832202d5,Sequential Comparison,2,Venak,25.473666141378658,0.5,0,22.41109156628629,-3.0625745750923663
3140d604987729c8dc84e787a86c619f,Category Learning,2,Bukil,39.262034413586164,0.675,-0.04999999999999993,37.041509413707765,-2.2205249998784
3140d604987729c8dc84e787a86c619f,Category Learning,2,Venak,22.054162199291035,0.675,-0.04999999999999993,25.75430608738448,3.7001438880934465
335ca65df6511e57c29e50ac3cf077d5,Category Learning,2,Bukil,37.54521231744274,0.625,-0.050000000000000044,40.754851670153904,3.2096393527111644
335ca65df6511e57c29e50ac3cf077d5,Category Learning,2,Venak,22.405321607444108,0.625,-0.050000000000000044,26.07631886877969,3.6709972613355824
3aa005fc8c65cf38233d213e9822460c,Sequential Comparison,2,Bukil,42.11604547921828,0.5,0,39.583927652734914,-2.532117826483365
3aa005fc8c65cf38233d213e9822460c,Sequential Comparison,2,Venak,33.597372267431936,0.5,0,23.318597883305564,-10.278774384126372
3b122f9f8eec73b45ec5386b06a48224,Sequential Comparison,2,Bukil,34.24104506425452,0.5,0,32.50881901583852,-1.7322260484160026
3b122f9f8eec73b45ec5386b06a48224,Sequential Comparison,2,Venak,19.513415015809482,0.5,0,20.095306648510086,0.5818916327006036
3f6014baec297cd2301d0fc903e2fba8,Sequential Comparison,2,Bukil,34.585890991286206,0.5,0,31.629727337338686,-2.9561636539475202
3f6014baec297cd2301d0fc903e2fba8,Sequential Comparison,2,Venak,19.91317539083623,0.5,0,23.928396273505804,4.015220882669574
46a659762b2853f8d5e6c56e37e2cdca,Sequential Comparison,2,Bukil,33.24936908841984,0.5,0,35.333923163100266,2.084554074680426
46a659762b2853f8d5e6c56e37e2cdca,Sequential Comparison,2,Venak,23.14342348087909,0.5,0,26.68755429314494,3.544130812265852
48556ae36eda1fedb1f03e8b5d3974e3,Category Learning,2,Bukil,42.593948941017274,0.775,-0.04999999999999993,44.75284287182282,2.1588939308055473
48556ae36eda1fedb1f03e8b5d3974e3,Category Learning,2,Venak,29.772199741153223,0.775,-0.04999999999999993,29.130054239067476,-0.6421455020857465
4b64608011cc94e68247dde58de83e70,Sequential Comparison,2,Bukil,35.16863219667051,0.5,0,42.27890530248434,7.110273105813832
4b64608011cc94e68247dde58de83e70,Sequential Comparison,2,Venak,17.5457898481598,0.5,0,23.29801028989003,5.7522204417302305
5b305dcef1e81a1f800fe9ea60b1860f,Sequential Comparison,2,Bukil,34.00584179245393,0.5,0,37.642517212952384,3.636675420498456
5b305dcef1e81a1f800fe9ea60b1860f,Sequential Comparison,2,Venak,25.073871591567094,0.5,0,28.941753753569074,3.8678821620019797
61e098478db1214866241aebdac05e21,Category Learning,2,Bukil,34.69210640704128,0.6,0,39.51799334346062,4.825886936419337
61e098478db1214866241aebdac05e21,Category Learning,2,Venak,20.714806123927424,0.6,0,32.873593013375434,12.15878688944801
684e1d81983b2e986d6df7c647b73c31,Category Learning,2,Bukil,35.31828719413135,0.775,0.20000000000000007,32.571926519929484,-2.746360674201867
684e1d81983b2e986d6df7c647b73c31,Category Learning,2,Venak,18.170755722892313,0.775,0.20000000000000007,15.245878808897654,-2.924876913994659
6b9b273da6bde4cf2ca69c1d021f509c,Category Learning,2,Bukil,40.684381586137675,0.9,0.125,37.87915266869415,-2.8052289174435288
6b9b273da6bde4cf2ca69c1d021f509c,Category Learning,2,Venak,22.137052839489062,0.9,0.125,24.71456428295545,2.5775114434663884
6d046fb624f53752c388ceac44c07428,Category Learning,2,Bukil,40.209083211557086,0.825,0.25,42.68224501245051,2.473161800893422
6d046fb624f53752c388ceac44c07428,Category Learning,2,Venak,23.51829089881484,0.825,0.25,23.84485372421677,0.32656282540192905
6e0e731b245b12d530bdbbec5727522e,Category Learning,2,Bukil,35.8166873519279,0.95,0.25,36.88969625449684,1.0730089025689438
6e0e731b245b12d530bdbbec5727522e,Category Learning,2,Venak,21.55953815268659,0.95,0.25,23.024208851631222,1.4646706989446336
6f9e7d536d2bd315a34033fe7b83ce30,Category Learning,2,Bukil,37.61876709384789,0.7,-0.2250000000000001,31.07025250617053,-6.548514587677364
6f9e7d536d2bd315a34033fe7b83ce30,Category Learning,2,Venak,21.06829149883919,0.7,-0.2250000000000001,23.696720388289922,2.6284288894507313
745603802a2a777abd63ce4e3c74d90a,Sequential Comparison,2,Bukil,34.79881929612727,0.5,0,28.0042100491189,-6.7946092470083705
745603802a2a777abd63ce4e3c74d90a,Sequential Comparison,2,Venak,20.38132871310912,0.5,0,19.47096606789462,-0.9103626452145015
78de6921dab6fa3a6f25814567ca8d87,Category Learning,2,Bukil,35.894696928520034,0.75,0.07499999999999996,37.42939085509288,1.5346939265728494
78de6921dab6fa3a6f25814567ca8d87,Category Learning,2,Venak,19.639006585205298,0.75,0.07499999999999996,20.52663024605379,0.8876236608484938
7a8214943de4acc3d30d055e7382d0b0,Sequential Comparison,2,Bukil,34.521231508411205,0.5,0,33.61966924889862,-0.9015622595125876
7a8214943de4acc3d30d055e7382d0b0,Sequential Comparison,2,Venak,24.473271384891056,0.5,0,21.41470711882872,-3.058564266062337
7dd542a6425e073895493faef6cdcac4,Sequential Comparison,2,Bukil,31.551089297030487,0.5,0,26.73736880363492,-4.813720493395568
7dd542a6425e073895493faef6cdcac4,Sequential Comparison,2,Venak,12.365279863774514,0.5,0,13.410627444749087,1.045347580974573
7e1a5621a55d73b3cade721f316479b4,Sequential Comparison,2,Bukil,20.579238898158216,0.5,0,32.551700264468096,11.97246136630988
7e1a5621a55d73b3cade721f316479b4,Sequential Comparison,2,Venak,15.409107431756548,0.5,0,18.5463627692287,3.137255337472153
87a134cfcfd542112cf78019c433f48f,Category Learning,2,Bukil,32.465237609598816,0.575,-0.10000000000000009,35.45466826872782,2.989430659129006
87a134cfcfd542112cf78019c433f48f,Category Learning,2,Venak,26.11037416999811,0.575,-0.10000000000000009,23.36779602130199,-2.7425781486961185
8b15880902347d90baa2c9155a3bdbf1,Category Learning,2,Bukil,26.66822546145935,0.875,0.15000000000000002,26.128044221910358,-0.5401812395489927
8b15880902347d90baa2c9155a3bdbf1,Category Learning,2,Venak,15.974448232280283,0.875,0.15000000000000002,13.283325809819338,-2.6911224224609445
907c279df55a9d664594dbd44f956399,Sequential Comparison,2,Bukil,30.17109791107288,0.5,0,28.122805316519553,-2.0482925945533275
907c279df55a9d664594dbd44f956399,Sequential Comparison,2,Venak,14.82924230275315,0.5,0,16.743990316761757,1.914748014008607
945e3b2489f210fb6f0c84f32052d4b0,Category Learning,2,Bukil,31.87357966964568,0.575,-0.025000000000000022,36.0277728790247,4.154193209379024
